nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS100x100x5,14.7,0.1,0.1,0.005,,,0.00187,2.79e-06,2.79e-06,0.0386,0.0386,5.59e-05,5.59e-05,6.64e-05,6.64e-05,4.39e-06,,,20110705,CAT EN-SHS SHS100x100x5 20110705
SHS70x70x8,15.0,0.07,0.07,0.008,,,0.00192,1.2e-06,1.2e-06,0.025,0.025,3.42e-05,3.42e-05,4.38e-05,4.38e-05,2e-06,,,20110705,CAT EN-SHS SHS70x70x8 20110705
SHS80x80x7.1,15.8,0.08,0.08,0.0071,,,0.00202,1.76e-06,1.76e-06,0.0295,0.0295,4.39e-05,4.39e-05,5.45e-05,5.45e-05,2.86e-06,,,20110705,CAT EN-SHS SHS80x80x7.1 20110705
SHS90x90x6.3,16.2,0.09,0.09,0.0063,,,0.00207,2.38e-06,2.38e-06,0.034,0.034,5.3e-05,5.3e-05,6.43e-05,6.43e-05,3.82e-06,,False,20100728,CAT EN-SHS SHS90x90x6.3 20100728
SHS70x70x8.8,16.3,0.07,0.07,0.0088,,,0.00207,1.26e-06,1.26e-06,0.0246,0.0246,3.59e-05,3.59e-05,4.66e-05,4.66e-05,2.12e-06,,,20110705,CAT EN-SHS SHS70x70x8.8 20110705
SHS80x80x8,17.5,0.08,0.08,0.008,,,0.00224,1.89e-06,1.89e-06,0.0291,0.0291,4.73e-05,4.73e-05,5.95e-05,5.95e-05,3.12e-06,,,20110705,CAT EN-SHS SHS80x80x8 20110705
SHS120x120x5,17.8,0.12,0.12,0.005,,,0.00227,4.98e-06,4.98e-06,0.0468,0.0468,8.3e-05,8.3e-05,9.76e-05,9.76e-05,7.77e-06,,,20110705,CAT EN-SHS SHS120x120x5 20110705
SHS90x90x7.1,18.1,0.09,0.09,0.0071,,,0.0023,2.6e-06,2.6e-06,0.0336,0.0336,5.77e-05,5.77e-05,7.08e-05,7.08e-05,4.19e-06,,,20110705,CAT EN-SHS SHS90x90x7.1 20110705
SHS100x100x6.3,18.2,0.1,0.1,0.0063,,,0.00232,3.36e-06,3.36e-06,0.038,0.038,6.71e-05,6.71e-05,8.09e-05,8.09e-05,5.34e-06,,False,20100728,CAT EN-SHS SHS100x100x6.3 20100728
SHS80x80x8.8,19.0,0.08,0.08,0.0088,,,0.00242,2e-06,2e-06,0.0287,0.0287,5e-05,5e-05,6.37e-05,6.37e-05,3.32e-06,,,20110705,CAT EN-SHS SHS80x80x8.8 20110705
SHS90x90x8,20.1,0.09,0.09,0.008,,,0.00256,2.81e-06,2.81e-06,0.0332,0.0332,6.26e-05,6.26e-05,7.76e-05,7.76e-05,4.59e-06,,,20110705,CAT EN-SHS SHS90x90x8 20110705
SHS100x100x7.1,20.3,0.1,0.1,0.0071,,,0.00258,3.67e-06,3.67e-06,0.0377,0.0377,7.34e-05,7.34e-05,8.92e-05,8.92e-05,5.89e-06,,,20110705,CAT EN-SHS SHS100x100x7.1 20110705
SHS140x140x5,21.0,0.14,0.14,0.005,,,0.00267,8.07e-06,8.07e-06,0.055,0.055,0.000115,0.000115,0.000135,0.000135,1.253e-05,,,20110705,CAT EN-SHS SHS140x140x5 20110705
SHS80x80x10,21.1,0.08,0.08,0.01,,,0.00269,2.14e-06,2.14e-06,0.0282,0.0282,5.35e-05,5.35e-05,6.93e-05,6.93e-05,3.6e-06,,,20110705,CAT EN-SHS SHS80x80x10 20110705
SHS90x90x8.8,21.8,0.09,0.09,0.0088,,,0.00278,2.99e-06,2.99e-06,0.0328,0.0328,6.65e-05,6.65e-05,8.34e-05,8.34e-05,4.92e-06,,,20110705,CAT EN-SHS SHS90x90x8.8 20110705
SHS120x120x6.3,22.2,0.12,0.12,0.0063,,,0.00282,6.03e-06,6.03e-06,0.0462,0.0462,0.0001,0.0001,0.00012,0.00012,9.5e-06,,False,20100728,CAT EN-SHS SHS120x120x6.3 20100728
SHS100x100x8,22.6,0.1,0.1,0.008,,,0.00288,4e-06,4e-06,0.0373,0.0373,7.99e-05,7.99e-05,9.82e-05,9.82e-05,6.46e-06,,,20110705,CAT EN-SHS SHS100x100x8 20110705
SHS150x150x5,22.6,0.15,0.15,0.005,,,0.00287,1.002e-05,1.002e-05,0.059,0.059,0.000134,0.000134,0.000156,0.000156,1.55e-05,,,20110705,CAT EN-SHS SHS150x150x5 20110705
SHS160x160x5,24.1,0.16,0.16,0.005,,,0.00307,1.225e-05,1.225e-05,0.0631,0.0631,0.000153,0.000153,0.000178,0.000178,1.892e-05,,,20110705,CAT EN-SHS SHS160x160x5 20110705
SHS90x90x10,24.3,0.09,0.09,0.01,,,0.00309,3.22e-06,3.22e-06,0.0323,0.0323,7.16e-05,7.16e-05,9.13e-05,9.13e-05,5.36e-06,,,20110705,CAT EN-SHS SHS90x90x10 20110705
SHS100x100x8.8,24.5,0.1,0.1,0.0088,,,0.00313,4.26e-06,4.26e-06,0.0369,0.0369,8.52e-05,8.52e-05,0.000106,0.000106,6.94e-06,,,20110705,CAT EN-SHS SHS100x100x8.8 20110705
SHS120x120x7.1,24.7,0.12,0.12,0.0071,,,0.00315,6.63e-06,6.63e-06,0.0459,0.0459,0.00011,0.00011,0.000133,0.000133,1.051e-05,,,20110705,CAT EN-SHS SHS120x120x7.1 20110705
SHS80x80x12.5,25.2,0.08,0.08,0.0125,,,0.00321,2.34e-06,2.34e-06,0.027,0.027,5.86e-05,5.86e-05,7.89e-05,7.89e-05,4.04e-06,,,20110705,CAT EN-SHS SHS80x80x12.5 20110705
SHS140x140x6.3,26.1,0.14,0.14,0.0063,,,0.00333,9.84e-06,9.84e-06,0.0544,0.0544,0.000141,0.000141,0.000166,0.000166,1.54e-05,,False,20100728,CAT EN-SHS SHS140x140x6.3 20100728
SHS180x180x5,27.3,0.18,0.18,0.005,,,0.00347,1.765e-05,1.765e-05,0.0713,0.0713,0.000196,0.000196,0.000227,0.000227,2.718e-05,,,20110705,CAT EN-SHS SHS180x180x5 20110705
