nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
SHS70x70x8.8,16.3,0.07,0.07,0.0088,,0.00207,1.26e-06,3.5900000000000005e-05,4.66e-05,0.0246,1.26e-06,3.5900000000000005e-05,4.66e-05,0.0246,2.12e-06,,CAT EN-SHS SHS70x70x8.8 20110705
RHS80x40x3,5.29,0.08,0.04,0.003,,0.000674,5.42e-07,1.36e-05,1.7100000000000002e-05,0.028399999999999998,1.8e-07,9e-06,1.04e-05,0.016300000000000002,4.38e-07,,CAT EN-RHS RHS80x40x3 20110705
RHS80x40x3.2,5.62,0.08,0.04,0.0032,,0.000716,5.72e-07,1.43e-05,1.8e-05,0.028300000000000002,1.8899999999999999e-07,9.5e-06,1.1000000000000001e-05,0.016300000000000002,4.62e-07,,CAT EN-RHS RHS80x40x3.2 20100728
RHS80x40x3.6,6.27,0.08,0.04,0.0036000000000000003,,0.000798,6.28e-07,1.5700000000000002e-05,2e-05,0.028100000000000003,2.06e-07,1.0300000000000001e-05,1.2100000000000001e-05,0.016100000000000003,5.080000000000002e-07,,CAT EN-RHS RHS80x40x3.6 20110705
RHS80x40x4,6.9,0.08,0.04,0.004,,0.000879,6.82e-07,1.7100000000000002e-05,2.18e-05,0.027899999999999998,2.22e-07,1.11e-05,1.32e-05,0.0159,5.52e-07,,CAT EN-RHS RHS80x40x4 20110705
SHS80x80x3,7.18,0.08,0.08,0.003,,0.000914,8.98e-07,2.25e-05,2.6300000000000002e-05,0.0313,8.98e-07,2.25e-05,2.6300000000000002e-05,0.0313,1.4e-06,,CAT EN-SHS SHS80x80x3 20110705
SHS80x80x3.2,7.63,0.08,0.08,0.0032,,0.000972,9.5e-07,2.37e-05,2.79e-05,0.0313,9.5e-07,2.37e-05,2.79e-05,0.0313,1.48e-06,,CAT EN-SHS SHS80x80x3.2 20100728
RHS80x40x5,8.42,0.08,0.04,0.005,,0.00107,8.03e-07,2.01e-05,2.61e-05,0.0274,2.57e-07,1.29e-05,1.5700000000000002e-05,0.0155,6.51e-07,,CAT EN-RHS RHS80x40x5 20110705
SHS80x80x3.6,8.53,0.08,0.08,0.0036000000000000003,,0.00109,1.05e-06,2.6200000000000003e-05,3.1e-05,0.031100000000000003,1.05e-06,2.6200000000000003e-05,3.1e-05,0.031100000000000003,1.64e-06,,CAT EN-SHS SHS80x80x3.6 20110705
SHS80x80x4,9.41,0.08,0.08,0.004,,0.0012,1.1399999999999999e-06,2.86e-05,3.4e-05,0.0309,1.1399999999999999e-06,2.86e-05,3.4e-05,0.0309,1.8e-06,,CAT EN-SHS SHS80x80x4 20110705
RHS80x40x6.3,10.3,0.08,0.04,0.0063,,0.00131,9.33e-07,2.33e-05,3.1100000000000004e-05,0.0267,2.9199999999999997e-07,1.46e-05,1.84e-05,0.0149,7.559999999999999e-07,,CAT EN-RHS RHS80x40x6.3 20100728
RHS80x40x7.1,11.4,0.08,0.04,0.007100000000000001,,0.00145,9.98e-07,2.5e-05,3.38e-05,0.0263,3.07e-07,1.54e-05,1.98e-05,0.0146,8.09e-07,,CAT EN-RHS RHS80x40x7.1 20110705
SHS80x80x5,11.6,0.08,0.08,0.005,,0.00147,1.37e-06,3.4200000000000005e-05,4.11e-05,0.0305,1.37e-06,3.4200000000000005e-05,4.11e-05,0.0305,2.17e-06,,CAT EN-SHS SHS80x80x5 20110705
RHS80x40x8,12.5,0.08,0.04,0.008,,0.0015999999999999999,1.06e-06,2.65e-05,3.65e-05,0.0258,3.21e-07,1.6100000000000002e-05,2.12e-05,0.014199999999999999,8.58e-07,,CAT EN-RHS RHS80x40x8 20110705
