nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS200x200x5,30.4,0.2,0.2,0.005,,,0.00387,2.445e-05,2.445e-05,0.0795,0.0795,0.000245,0.000245,0.000283,0.000283,3.756e-05,,,20110705,CAT EN-SHS SHS200x200x5 20110705
SHS140x140x8,32.6,0.14,0.14,0.008,,,0.00416,1.195e-05,1.195e-05,0.0536,0.0536,0.000171,0.000171,0.000204,0.000204,1.892e-05,,,20110705,CAT EN-SHS SHS140x140x8 20110705
SHS120x120x10,33.7,0.12,0.12,0.01,,,0.00429,8.52e-06,8.52e-06,0.0446,0.0446,0.000142,0.000142,0.000175,0.000175,1.382e-05,,,20110705,CAT EN-SHS SHS120x120x10 20110705
SHS160x160x7.1,33.7,0.16,0.16,0.0071,,,0.00429,1.659e-05,1.659e-05,0.0622,0.0622,0.000207,0.000207,0.000245,0.000245,2.595e-05,,,20110705,CAT EN-SHS SHS160x160x7.1 20110705
SHS180x180x6.3,34.0,0.18,0.18,0.0063,,,0.00433,2.168e-05,2.168e-05,0.0707,0.0707,0.000241,0.000241,0.000281,0.000281,3.361e-05,,False,20100728,CAT EN-SHS SHS180x180x6.3 20100728
SHS150x150x8,35.1,0.15,0.15,0.008,,,0.00448,1.491e-05,1.491e-05,0.0577,0.0577,0.000199,0.000199,0.000237,0.000237,2.351e-05,,,20110705,CAT EN-SHS SHS150x150x8 20110705
SHS140x140x8.8,35.6,0.14,0.14,0.0088,,,0.00454,1.287e-05,1.287e-05,0.0533,0.0533,0.000184,0.000184,0.000221,0.000221,2.048e-05,,,20110705,CAT EN-SHS SHS140x140x8.8 20110705
SHS160x160x8,37.6,0.16,0.16,0.008,,,0.0048,1.831e-05,1.831e-05,0.0618,0.0618,0.000229,0.000229,0.000272,0.000272,2.88e-05,,,20110705,CAT EN-SHS SHS160x160x8 20110705
SHS200x200x6.3,38.0,0.2,0.2,0.0063,,,0.00484,3.011e-05,3.011e-05,0.0789,0.0789,0.000301,0.000301,0.00035,0.00035,4.653e-05,,False,20100728,CAT EN-SHS SHS200x200x6.3 20100728
SHS180x180x7.1,38.1,0.18,0.18,0.0071,,,0.00486,2.404e-05,2.404e-05,0.0704,0.0704,0.000267,0.000267,0.000314,0.000314,3.744e-05,,,20110705,CAT EN-SHS SHS180x180x7.1 20110705
