nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
IPEO500,107,0.506,0.202,0.012,0.019,,0.0005778,0.002284,0.0026130000000000003,0.20600000000000002,2.622e-05,0.00026000000000000003,0.000409,0.0438,1.43e-06,0.021,CAT IPE-AM IPEO500 20170912
IPEV500,129,0.514,0.20400000000000001,0.014199999999999999,0.023,,0.0007072,0.002751,0.0031680000000000002,0.20700000000000002,3.271e-05,0.00032,0.0005060000000000002,0.0446,2.42e-06,0.021,CAT IPE-AM IPEV500 20170912
IPEA550,92.1,0.547,0.21,0.009000000000000001,0.0157,,0.0005997999999999999,0.002193,0.002475,0.226,2.432e-05,0.000232,0.000362,0.0455,8.93e-07,0.024,CAT IPE-AM IPEA550 20170912
IPE550,106,0.55,0.21,0.0111,0.0172,,0.0006711999999999999,0.0024400000000000003,0.002787,0.224,2.668e-05,0.000254,0.00040100000000000004,0.0445,1.2299999999999999e-06,0.024,CAT IPE-AM IPE550 20170912
IPEO550,123,0.556,0.212,0.0127,0.0202,,0.0007915999999999999,0.002847,0.0032630000000000003,0.225,3.2239999999999996e-05,0.000304,0.00048100000000000004,0.0455,1.8699999999999999e-06,0.024,CAT IPE-AM IPEO550 20170912
IPEV550,159,0.5660000000000001,0.216,0.0171,0.0252,,0.0010234,0.0036160000000000003,0.004204,0.225,4.264e-05,0.000395,0.0006320000000000001,0.04590000000000002,3.72e-06,0.024,CAT IPE-AM IPEV550 20170912
IPEA600,108,0.597,0.22,0.0098,0.0175,,0.0008292,0.002778,0.003141,0.246,3.116e-05,0.000283,0.000442,0.047700000000000006,1.22e-06,0.024,CAT IPE-AM IPEA600 20170912
IPE600,122,0.6,0.22,0.012,0.019,,0.0009207999999999999,0.0030700000000000002,0.0035120000000000004,0.243,3.387e-05,0.000308,0.00048600000000000005,0.0466,1.6499999999999999e-06,0.024,CAT IPE-AM IPE600 20170912
IPEO600,154,0.61,0.224,0.015,0.024,,0.001183,0.003879,0.004471,0.245,4.5209999999999996e-05,0.000404,0.00064,0.0479,3.16e-06,0.024,CAT IPE-AM IPEO600 20170912
IPEV600,184,0.618,0.228,0.018000000000000002,0.028,,0.0014158,0.004581,0.005324000000000001,0.246,5.569e-05,0.00048800000000000004,0.0007800000000000001,0.048799999999999996,5.06e-06,0.024,CAT IPE-AM IPEV600 20170912
IPE750x134,134,0.75,0.264,0.012,0.0155,,0.0015069999999999999,0.004018,0.0046440000000000006,0.297,4.788e-05,0.000362,0.0005700000000000001,0.053,1.2e-06,0.017,CAT IPE-AM IPE750x134 20170912
IPE750x147,147,0.753,0.265,0.0132,0.017,,0.001661,0.004411,0.00511,0.298,5.289e-05,0.00039900000000000005,0.000631,0.0531,1.5709999999999999e-06,0.017,CAT IPE-AM IPE750x147 20170912
IPE750x173,173,0.762,0.267,0.014400000000000001,0.0216,,0.002058,0.0054020000000000006,0.0062180000000000004,0.305,6.873e-05,0.0005150000000000002,0.0008100000000000001,0.055700000000000006,2.7e-06,0.017,CAT IPE-AM IPE750x173 20170912
IPE750x196,196,0.77,0.268,0.0156,0.0254,,0.0024029999999999998,0.006241,0.007174000000000001,0.31,8.175e-05,0.0006100000000000001,0.0009590000000000001,0.057100000000000005,4.06e-06,0.017,CAT IPE-AM IPE750x196 20170912
IPE750x220,220,0.779,0.266,0.0165,0.03,,0.0027819999999999998,0.007143,0.008198,0.3148,9.44e-05,0.0007099000000000001,0.001113,0.058,6.070000000000001e-06,0.017,CAT IPE-AM IPE750x220 20170912
