nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
IPE600,122.0,0.6,0.22,0.012,0.019,0.024,0.0156,0.0009208,3.387e-05,0.243,0.0466,0.00307,0.000308,0.003512,0.000486,1.6500000000000003e-06,2.846e-06,FALSE,20170912,CAT IPE-AM IPE600 20170912
IPEO550,123.0,0.556,0.212,0.0127,0.0202,0.024,0.01561,0.0007916,3.224e-05,0.225,0.0455,0.002847,0.000304,0.003263,0.000481,1.8700000000000003e-06,2.302e-06,FALSE,20170912,CAT IPE-AM IPEO550 20170912
IPEV500,129.0,0.514,0.204,0.0142,0.023,0.021,0.01641,0.0007072,3.271e-05,0.207,0.0446,0.002751,0.00032,0.003168,0.000506,2.42e-06,1.971e-06,FALSE,20170912,CAT IPE-AM IPEV500 20170912
IPE750x134,134.0,0.75,0.264,0.012,0.0155,0.017,0.01706,0.001507,4.788e-05,0.297,0.053,0.004018,0.000362,0.004644,0.00057,1.2e-06,6.44e-06,FALSE,20170912,CAT IPE-AM IPE750x134 20170912
IPE750x147,147.0,0.753,0.265,0.0132,0.017,0.017,0.01875,0.001661,5.289e-05,0.298,0.0531,0.004411,0.000399,0.00511,0.000631,1.5709999999999999e-06,7.141e-06,FALSE,20170912,CAT IPE-AM IPE750x147 20170912
IPEO600,154.0,0.61,0.224,0.015,0.024,0.024,0.01968,0.001183,4.521e-05,0.245,0.0479,0.003879,0.000404,0.004471,0.00064,3.16e-06,3.86e-06,FALSE,20170912,CAT IPE-AM IPEO600 20170912
IPEV550,159.0,0.566,0.216,0.0171,0.0252,0.024,0.0202,0.0010234,4.264e-05,0.225,0.0459,0.003616,0.000395,0.004204,0.000632,3.7200000000000004e-06,3.118e-06,FALSE,20170912,CAT IPE-AM IPEV550 20170912
IPE750x173,173.0,0.762,0.267,0.0144,0.0216,0.017,0.02213,0.002058,6.873e-05,0.305,0.0557,0.005402,0.000515,0.006218,0.00081,2.7e-06,9.391e-06,FALSE,20170912,CAT IPE-AM IPE750x173 20170912
IPEV600,184.0,0.618,0.228,0.018,0.028,0.024,0.02338,0.0014158,5.569e-05,0.246,0.0488,0.004581,0.000488,0.005324,0.00078,5.06e-06,4.846e-06,FALSE,20170912,CAT IPE-AM IPEV600 20170912
IPE750x196,196.0,0.77,0.268,0.0156,0.0254,0.017,0.02508,0.002403,8.175e-05,0.31,0.0571,0.006241,0.00061,0.007174,0.000959,4.06e-06,1.129e-05,FALSE,20170912,CAT IPE-AM IPE750x196 20170912
IPE750x220,220.0,0.779,0.266,0.0165,0.03,0.017,0.02807,0.002782,9.44e-05,0.3148,0.058,0.007143,0.0007099,0.008198,0.001113,6.070000000000001e-06,1.32e-05,FALSE,20170912,CAT IPE-AM IPE750x220 20170912
