nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
CHS245x16.0,90.2,0.2445,,0.016,,,0.0115,7.533e-05,7.533e-05,0.081,0.081,0.000616,0.000616,0.000837,0.000837,0.0001507,,False,20100728,CAT EN-CHS CHS245x16.0 20100728
CHS273x14.2,90.6,0.273,,0.0142,,,0.0115,9.695e-05,9.695e-05,0.0916,0.0916,0.00071,0.00071,0.000952,0.000952,0.0001939,,False,20100728,CAT EN-CHS CHS273x14.2 20100728
CHS610x6.3,93.8,0.61,,0.0063,,,0.0119,0.0005444,0.0005444,0.213,0.213,0.001785,0.001785,0.002296,0.002296,0.001089,,False,20100728,CAT EN-CHS CHS610x6.3 20100728
CHS324x12.5,96.0,0.3239,,0.0125,,,0.0122,0.0001485,0.0001485,0.11,0.11,0.000917,0.000917,0.001213,0.001213,0.0002969,,False,20100728,CAT EN-CHS CHS324x12.5 20100728
CHS406x10.0,97.8,0.4064,,0.01,,,0.0125,0.0002448,0.0002448,0.14,0.14,0.001205,0.001205,0.001572,0.001572,0.0004895,,False,20100728,CAT EN-CHS CHS406x10.0 20100728
CHS219x20.0,98.2,0.2191,,0.02,,,0.0125,6.261e-05,6.261e-05,0.0707,0.0707,0.000572,0.000572,0.000795,0.000795,0.0001252,,False,20100728,CAT EN-CHS CHS219x20.0 20100728
CHS508x8.0,98.6,0.508,,0.008,,,0.0126,0.0003928,0.0003928,0.177,0.177,0.001546,0.001546,0.002,0.002,0.0007856,,False,20100728,CAT EN-CHS CHS508x8.0 20100728
CHS273x16.0,101.0,0.273,,0.016,,,0.0129,0.0001071,0.0001071,0.091,0.091,0.000784,0.000784,0.001058,0.001058,0.0002141,,False,20100728,CAT EN-CHS CHS273x16.0 20100728
CHS356x12.5,106.0,0.3556,,0.0125,,,0.0135,0.0001985,0.0001985,0.121,0.121,0.001117,0.001117,0.001472,0.001472,0.000397,,False,20100728,CAT EN-CHS CHS356x12.5 20100728
CHS324x14.2,108.5,0.3239,,0.0142,,,0.0138,0.000166,0.000166,0.11,0.11,0.001025,0.001025,0.001363,0.001363,0.000332,,False,20100728,CAT EN-CHS CHS324x14.2 20100728
CHS711x6.3,109.0,0.711,,0.0063,,,0.0139,0.0008659,0.0008659,0.249,0.249,0.002436,0.002436,0.003129,0.003129,0.00173,,False,20100728,CAT EN-CHS CHS711x6.3 20100728
CHS457x10.0,110.0,0.457,,0.01,,,0.014,0.0003509,0.0003509,0.158,0.158,0.001536,0.001536,0.001998,0.001998,0.0007018,,False,20100728,CAT EN-CHS CHS457x10.0 20100728
CHS245x20.0,110.7,0.2445,,0.02,,,0.0141,8.957e-05,8.957e-05,0.0797,0.0797,0.000733,0.000733,0.001011,0.001011,0.0001791,,False,20100728,CAT EN-CHS CHS245x20.0 20100728
CHS762x6.3,117.0,0.762,,0.0063,,,0.015,0.001068,0.001068,0.267,0.267,0.002803,0.002803,0.003598,0.003598,0.002136,,False,20100728,CAT EN-CHS CHS762x6.3 20100728
CHS610x8.0,119.0,0.61,,0.008,,,0.0151,0.0006855,0.0006855,0.213,0.213,0.002248,0.002248,0.002899,0.002899,0.001371,,False,20100728,CAT EN-CHS CHS610x8.0 20100728
CHS356x14.2,120.0,0.3556,,0.0142,,,0.0152,0.0002223,0.0002223,0.121,0.121,0.00125,0.00125,0.001656,0.001656,0.0004446,,False,20100728,CAT EN-CHS CHS356x14.2 20100728
CHS324x16.0,121.0,0.3239,,0.016,,,0.0155,0.0001839,0.0001839,0.109,0.109,0.001136,0.001136,0.001518,0.001518,0.0003678,,False,20100728,CAT EN-CHS CHS324x16.0 20100728
CHS406x12.5,121.0,0.4064,,0.0125,,,0.0155,0.0003003,0.0003003,0.139,0.139,0.001478,0.001478,0.00194,0.00194,0.0006006,,False,20100728,CAT EN-CHS CHS406x12.5 20100728
CHS508x10.0,123.0,0.508,,0.01,,,0.0156,0.0004852,0.0004852,0.176,0.176,0.00191,0.00191,0.00248,0.00248,0.0009704,,False,20100728,CAT EN-CHS CHS508x10.0 20100728
CHS273x20.0,125.0,0.273,,0.02,,,0.0159,0.000128,0.000128,0.0897,0.0897,0.000938,0.000938,0.001283,0.001283,0.000256,,False,20100728,CAT EN-CHS CHS273x20.0 20100728
CHS356x16.0,134.0,0.3556,,0.016,,,0.0171,0.0002466,0.0002466,0.12,0.12,0.001387,0.001387,0.001847,0.001847,0.0004933,,False,20100728,CAT EN-CHS CHS356x16.0 20100728
CHS245x25.0,135.0,0.2445,,0.025,,,0.0172,0.0001052,0.0001052,0.0781,0.0781,0.00086,0.00086,0.00121,0.00121,0.0002103,,False,20100728,CAT EN-CHS CHS245x25.0 20100728
CHS406x14.2,137.0,0.4064,,0.0142,,,0.0175,0.0003369,0.0003369,0.139,0.139,0.001658,0.001658,0.002185,0.002185,0.0006737,,False,20100728,CAT EN-CHS CHS406x14.2 20100728
CHS457x12.5,137.0,0.457,,0.0125,,,0.0175,0.0004315,0.0004315,0.157,0.157,0.001888,0.001888,0.00247,0.00247,0.0008629,,False,20100728,CAT EN-CHS CHS457x12.5 20100728
CHS711x8.0,139.0,0.711,,0.008,,,0.0177,0.001092,0.001092,0.249,0.249,0.003071,0.003071,0.003954,0.003954,0.00218,,False,20100728,CAT EN-CHS CHS711x8.0 20100728
CHS324x19.0,143.0,0.3239,,0.019,,,0.0182,0.00021231,0.00021231,0.108,0.108,0.001311,0.001311,0.001769,0.001769,0.00042462,,,20110705,CAT EN-CHS CHS324x19.0 20110705
CHS610x10.0,148.0,0.61,,0.01,,,0.0188,0.0008485,0.0008485,0.212,0.212,0.002782,0.002782,0.0036,0.0036,0.001697,,False,20100728,CAT EN-CHS CHS610x10.0 20100728
CHS762x8.0,149.0,0.762,,0.008,,,0.019,0.001347,0.001347,0.267,0.267,0.003535,0.003535,0.004548,0.004548,0.002694,,False,20100728,CAT EN-CHS CHS762x8.0 20100728
CHS324x20.0,150.0,0.3239,,0.02,,,0.0191,0.0002214,0.0002214,0.108,0.108,0.001367,0.001367,0.00185,0.00185,0.0004428,,False,20100728,CAT EN-CHS CHS324x20.0 20100728
CHS273x25.0,153.0,0.273,,0.025,,,0.0195,0.0001513,0.0001513,0.0881,0.0881,0.001108,0.001108,0.001543,0.001543,0.0003025,,False,20100728,CAT EN-CHS CHS273x25.0 20100728
CHS508x12.5,153.0,0.508,,0.0125,,,0.0195,0.0005976,0.0005976,0.175,0.175,0.002353,0.002353,0.00307,0.00307,0.001195,,False,20100728,CAT EN-CHS CHS508x12.5 20100728
CHS406x16.0,154.0,0.4064,,0.016,,,0.0196,0.0003745,0.0003745,0.138,0.138,0.001843,0.001843,0.00244,0.00244,0.000749,,False,20100728,CAT EN-CHS CHS406x16.0 20100728
CHS457x14.2,155.0,0.457,,0.0142,,,0.0198,0.0004846,0.0004846,0.157,0.157,0.002121,0.002121,0.002785,0.002785,0.0009693,,False,20100728,CAT EN-CHS CHS457x14.2 20100728
CHS356x19.0,158.0,0.3556,,0.019,,,0.0201,0.00028545,0.00028545,0.119,0.119,0.001605,0.001605,0.002155,0.002155,0.00057091,,,20110705,CAT EN-CHS CHS356x19.0 20110705
CHS813x8.0,159.0,0.813,,0.008,,,0.0202,0.001639,0.001639,0.285,0.285,0.004032,0.004032,0.005184,0.005184,0.003278,,False,20100728,CAT EN-CHS CHS813x8.0 20100728
CHS324x22.0,164.0,0.3239,,0.022,,,0.0209,0.00023899,0.00023899,0.107,0.107,0.001476,0.001476,0.002009,0.002009,0.00047797,,,20110705,CAT EN-CHS CHS324x22.0 20110705
CHS356x20.0,166.0,0.3556,,0.02,,,0.0211,0.0002979,0.0002979,0.119,0.119,0.001676,0.001676,0.002255,0.002255,0.0005958,,False,20100728,CAT EN-CHS CHS356x20.0 20100728
CHS508x14.2,173.0,0.508,,0.0142,,,0.022,0.000672,0.000672,0.175,0.175,0.002646,0.002646,0.003463,0.003463,0.001344,,False,20100728,CAT EN-CHS CHS508x14.2 20100728
CHS711x10.0,173.0,0.711,,0.01,,,0.022,0.001353,0.001353,0.248,0.248,0.003806,0.003806,0.004914,0.004914,0.002706,,False,20100728,CAT EN-CHS CHS711x10.0 20100728
CHS457x16.0,174.0,0.457,,0.016,,,0.0222,0.0005396,0.0005396,0.156,0.156,0.002361,0.002361,0.003113,0.003113,0.001079,,False,20100728,CAT EN-CHS CHS457x16.0 20100728
CHS914x8.0,179.0,0.914,,0.008,,,0.0228,0.002337,0.002337,0.32,0.32,0.005113,0.005113,0.006567,0.006567,0.004673,,False,20100728,CAT EN-CHS CHS914x8.0 20100728
CHS356x22.0,181.0,0.3556,,0.022,,,0.0231,0.00032214,0.00032214,0.118,0.118,0.001812,0.001812,0.002452,0.002452,0.00064428,,,20110705,CAT EN-CHS CHS356x22.0 20110705
CHS406x19.0,182.0,0.4064,,0.019,,,0.0231,0.00043485,0.00043485,0.137,0.137,0.00214,0.00214,0.002854,0.002854,0.00086969,,,20110705,CAT EN-CHS CHS406x19.0 20110705
CHS324x25.0,184.0,0.3239,,0.025,,,0.0235,0.000264,0.000264,0.106,0.106,0.00163,0.00163,0.002239,0.002239,0.000528,,False,20100728,CAT EN-CHS CHS324x25.0 20100728
CHS610x12.5,184.0,0.61,,0.0125,,,0.0235,0.001048,0.001048,0.211,0.211,0.003435,0.003435,0.004463,0.004463,0.002096,,False,20100728,CAT EN-CHS CHS610x12.5 20100728
CHS762x10.0,185.0,0.762,,0.01,,,0.0236,0.00167,0.00167,0.266,0.266,0.004384,0.004384,0.005655,0.005655,0.003341,,False,20100728,CAT EN-CHS CHS762x10.0 20100728
CHS406x20.0,191.0,0.4064,,0.02,,,0.0243,0.0004543,0.0004543,0.137,0.137,0.002236,0.002236,0.002989,0.002989,0.0009086,,False,20100728,CAT EN-CHS CHS406x20.0 20100728
CHS508x16.0,194.0,0.508,,0.016,,,0.0247,0.0007491,0.0007491,0.174,0.174,0.002949,0.002949,0.003874,0.003874,0.001498,,False,20100728,CAT EN-CHS CHS508x16.0 20100728
CHS813x10.0,198.0,0.813,,0.01,,,0.0252,0.002034,0.002034,0.284,0.284,0.005003,0.005003,0.006448,0.006448,0.004068,,False,20100728,CAT EN-CHS CHS813x10.0 20100728
CHS1016x8.0,199.0,1.016,,0.008,,,0.0253,0.003218,0.003218,0.356,0.356,0.006334,0.006334,0.008129,0.008129,0.006436,,False,20100728,CAT EN-CHS CHS1016x8.0 20100728
CHS356x25.0,204.0,0.3556,,0.025,,,0.026,0.0003568,0.0003568,0.117,0.117,0.002007,0.002007,0.002738,0.002738,0.0007135,,False,20100728,CAT EN-CHS CHS356x25.0 20100728
CHS406x22.0,209.0,0.4064,,0.022,,,0.0266,0.00049233,0.00049233,0.136,0.136,0.002423,0.002423,0.003254,0.003254,0.00098465,,,20110705,CAT EN-CHS CHS406x22.0 20110705
CHS610x14.2,209.0,0.61,,0.0142,,,0.0266,0.00118,0.00118,0.211,0.211,0.003869,0.003869,0.005042,0.005042,0.00236,,False,20100728,CAT EN-CHS CHS610x14.2 20100728
CHS711x12.5,215.0,0.711,,0.0125,,,0.0274,0.001673,0.001673,0.247,0.247,0.004707,0.004707,0.006099,0.006099,0.003347,,False,20100728,CAT EN-CHS CHS711x12.5 20100728
CHS457x20.0,216.0,0.457,,0.02,,,0.0275,0.0006568,0.0006568,0.155,0.155,0.002874,0.002874,0.003822,0.003822,0.001314,,False,20100728,CAT EN-CHS CHS457x20.0 20100728
CHS914x10.0,223.0,0.914,,0.01,,,0.0284,0.002905,0.002905,0.32,0.32,0.006349,0.006349,0.008172,0.008172,0.005803,,False,20100728,CAT EN-CHS CHS914x10.0 20100728
CHS762x12.5,231.0,0.762,,0.0125,,,0.0294,0.002067,0.002067,0.265,0.265,0.005426,0.005426,0.007023,0.007023,0.004135,,False,20100728,CAT EN-CHS CHS762x12.5 20100728
CHS610x16.0,234.0,0.61,,0.016,,,0.0299,0.001318,0.001318,0.21,0.21,0.004321,0.004321,0.005647,0.005647,0.002636,,False,20100728,CAT EN-CHS CHS610x16.0 20100728
CHS406x25.0,235.0,0.4064,,0.025,,,0.03,0.000547,0.000547,0.135,0.135,0.002692,0.002692,0.003642,0.003642,0.001094,,False,20100728,CAT EN-CHS CHS406x25.0 20100728
CHS457x22.0,236.0,0.457,,0.022,,,0.0301,0.00071295,0.00071295,0.154,0.154,0.00312,0.00312,0.004166,0.004166,0.0014259,,,20110705,CAT EN-CHS CHS457x22.0 20110705
CHS508x20.0,241.0,0.508,,0.02,,,0.0307,0.0009143,0.0009143,0.173,0.173,0.0036,0.0036,0.004766,0.004766,0.001829,,False,20100728,CAT EN-CHS CHS508x20.0 20100728
CHS711x14.2,244.0,0.711,,0.0142,,,0.0311,0.001887,0.001887,0.246,0.246,0.005309,0.005309,0.006895,0.006895,0.003775,,False,20100728,CAT EN-CHS CHS711x14.2 20100728
CHS813x12.5,247.0,0.813,,0.0125,,,0.0314,0.002519,0.002519,0.283,0.283,0.006196,0.006196,0.008011,0.008011,0.005037,,False,20100728,CAT EN-CHS CHS813x12.5 20100728
