nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
RHS250x200x8.8,59.1,0.25,0.2,0.0088,,,0.00753,6.827e-05,4.826e-05,0.0952,0.0801,0.000546,0.000483,0.000651,0.000558,8.829e-05,,,20110705,CAT EN-RHS RHS250x200x8.8 20110705
RHS300x150x8.8,59.1,0.3,0.15,0.0088,,,0.00753,8.707e-05,2.925e-05,0.108,0.0623,0.00058,0.00039,0.000723,0.000443,7.019e-05,,,20110705,CAT EN-RHS RHS300x150x8.8 20110705
RHS300x250x7.1,59.3,0.3,0.25,0.0071,,,0.00755,0.00010252,7.749e-05,0.116,0.101,0.000683,0.00062,0.000802,0.000708,0.00013595,,,20110705,CAT EN-RHS RHS300x250x7.1 20110705
RHS400x150x7.1,59.3,0.4,0.15,0.0071,,,0.00755,0.00014794,3.166e-05,0.14,0.0647,0.00074,0.000422,0.000936,0.000467,8.467e-05,,,20110705,CAT EN-RHS RHS400x150x7.1 20110705
RHS300x200x8,60.3,0.3,0.2,0.008,,,0.00768,9.717e-05,5.184e-05,0.113,0.0822,0.000648,0.000518,0.000779,0.000589,0.00010562,,,20110705,CAT EN-RHS RHS300x200x8 20110705
RHS350x150x8,60.3,0.35,0.15,0.008,,,0.00768,0.0001177,3.105e-05,0.124,0.0636,0.000673,0.000414,0.000844,0.000464,7.926e-05,,,20110705,CAT EN-RHS RHS350x150x8 20110705
RHS220x120x12.5,60.5,0.22,0.12,0.0125,,,0.00771,4.56e-05,1.707e-05,0.0769,0.0471,0.000415,0.000285,0.00053,0.000341,4.087e-05,,,20110705,CAT EN-RHS RHS220x120x12.5 20110705
RHS200x150x12.5,62.5,0.2,0.15,0.0125,,,0.00796,4.236e-05,2.673e-05,0.073,0.058,0.000424,0.000356,0.000525,0.000428,5.287e-05,,,20110705,CAT EN-RHS RHS200x150x12.5 20110705
RHS250x100x12.5,62.5,0.25,0.1,0.0125,,,0.00796,5.622e-05,1.245e-05,0.0841,0.0396,0.00045,0.000249,0.000592,0.000299,3.436e-05,,,20110705,CAT EN-RHS RHS250x100x12.5 20110705
RHS400x120x8,62.8,0.4,0.12,0.008,,,0.008,0.00014644,2.134e-05,0.135,0.0517,0.000732,0.000356,0.000952,0.000397,6.218e-05,,,20110705,CAT EN-RHS RHS400x120x8 20110705
RHS200x120x14.2,63.3,0.2,0.12,0.0142,,,0.00807,3.907e-05,1.693e-05,0.0696,0.0458,0.000391,0.000282,0.000503,0.000346,3.915e-05,,,20110705,CAT EN-RHS RHS200x120x14.2 20110705
RHS350x250x7.1,64.9,0.35,0.25,0.0071,,,0.00826,0.00014747,8.796e-05,0.134,0.103,0.000843,0.000704,0.000999,0.000794,0.00017024,,,20110705,CAT EN-RHS RHS350x250x7.1 20110705
RHS400x200x7.1,64.9,0.4,0.2,0.0071,,,0.00826,0.00017535,5.989e-05,0.146,0.0851,0.000877,0.000599,0.001075,0.000665,0.00014096,,,20110705,CAT EN-RHS RHS400x200x7.1 20110705
RHS260x180x10,65.1,0.26,0.18,0.01,,,0.00829,7.741e-05,4.351e-05,0.0966,0.0724,0.000595,0.000483,0.000724,0.00056,8.798e-05,,,20110705,CAT EN-RHS RHS260x180x10 20110705
RHS340x100x10,65.1,0.34,0.1,0.01,,,0.00829,0.00010585,1.438e-05,0.113,0.0416,0.000623,0.000288,0.000823,0.000332,4.299e-05,,,20110705,CAT EN-RHS RHS340x100x10 20110705
RHS200x100x16,65.2,0.2,0.1,0.016,,,0.0083,3.678e-05,1.147e-05,0.0666,0.0372,0.000368,0.000229,0.000491,0.00029,2.982e-05,,,20110705,CAT EN-RHS RHS200x100x16 20110705
RHS300x200x8.8,66.0,0.3,0.2,0.0088,,,0.00841,0.00010573,5.631e-05,0.112,0.0818,0.000705,0.000563,0.000851,0.000643,0.00011514,,,20110705,CAT EN-RHS RHS300x200x8.8 20110705
RHS350x150x8.8,66.0,0.35,0.15,0.0088,,,0.00841,0.00012808,3.364e-05,0.123,0.0633,0.000732,0.000449,0.000922,0.000506,8.622e-05,,,20110705,CAT EN-RHS RHS350x150x8.8 20110705
RHS300x250x8,66.5,0.3,0.25,0.008,,,0.00848,0.00011422,8.627e-05,0.116,0.101,0.000761,0.00069,0.000896,0.000791,0.00015187,,,20110705,CAT EN-RHS RHS300x250x8 20110705
RHS400x150x8,66.5,0.4,0.15,0.008,,,0.00848,0.00016488,3.509e-05,0.139,0.0643,0.000824,0.000468,0.001046,0.000521,9.424e-05,,,20110705,CAT EN-RHS RHS400x150x8 20110705
RHS250x200x10,66.7,0.25,0.2,0.01,,,0.00849,7.614e-05,5.374e-05,0.0947,0.0795,0.000609,0.000537,0.000731,0.000626,9.889e-05,,,20110705,CAT EN-RHS RHS250x200x10 20110705
RHS300x150x10,66.7,0.3,0.15,0.01,,,0.00849,9.716e-05,3.246e-05,0.107,0.0618,0.000648,0.000433,0.000811,0.000496,7.839e-05,,,20110705,CAT EN-RHS RHS300x150x10 20110705
RHS220x120x14.2,67.8,0.22,0.12,0.0142,,,0.00863,4.996e-05,1.853e-05,0.0761,0.0463,0.000454,0.000309,0.000586,0.000376,4.488e-05,,,20110705,CAT EN-RHS RHS220x120x14.2 20110705
RHS400x120x8.8,68.8,0.4,0.12,0.0088,,,0.00876,0.0001594,2.306e-05,0.135,0.0513,0.000797,0.000384,0.00104,0.000432,6.746e-05,,,20110705,CAT EN-RHS RHS400x120x8.8 20110705
RHS200x150x14.2,70.0,0.2,0.15,0.0142,,,0.00892,4.644e-05,2.919e-05,0.0722,0.0572,0.000464,0.000389,0.000582,0.000473,5.834e-05,,,20110705,CAT EN-RHS RHS200x150x14.2 20110705
RHS250x100x14.2,70.0,0.25,0.1,0.0142,,,0.00892,6.165e-05,1.344e-05,0.0831,0.0388,0.000493,0.000269,0.000655,0.000329,3.752e-05,,,20110705,CAT EN-RHS RHS250x100x14.2 20110705
RHS200x120x16,70.2,0.2,0.12,0.016,,,0.00894,4.221e-05,1.813e-05,0.0687,0.045,0.000422,0.000302,0.00055,0.000377,4.247e-05,,,20110705,CAT EN-RHS RHS200x120x16 20110705
RHS250x150x12.5,72.3,0.25,0.15,0.0125,,,0.00921,7.387e-05,3.265e-05,0.0896,0.0596,0.000591,0.000435,0.00074,0.000514,7.326e-05,,False,20100728,CAT EN-RHS RHS250x150x12.5 20100728
RHS260x140x12.5,72.3,0.26,0.14,0.0125,,,0.00921,7.767e-05,2.876e-05,0.0918,0.0559,0.000597,0.000411,0.000756,0.000485,6.841e-05,,,20110705,CAT EN-RHS RHS260x140x12.5 20110705
RHS300x100x12.5,72.3,0.3,0.1,0.0125,,,0.00921,9.103e-05,1.486e-05,0.0994,0.0402,0.000607,0.000297,0.000806,0.000354,4.35e-05,,,20110705,CAT EN-RHS RHS300x100x12.5 20110705
RHS350x250x8,72.8,0.35,0.25,0.008,,,0.00928,0.00016449,9.798e-05,0.133,0.103,0.00094,0.000784,0.001118,0.000888,0.00019027,,,20110705,CAT EN-RHS RHS350x250x8 20110705
RHS400x200x8,72.8,0.4,0.2,0.008,,,0.00928,0.00019562,6.66e-05,0.145,0.0847,0.000978,0.000666,0.001203,0.000743,0.00015735,,,20110705,CAT EN-RHS RHS400x200x8 20110705
RHS300x250x8.8,72.9,0.3,0.25,0.0088,,,0.00929,0.00012439,9.388e-05,0.116,0.101,0.000829,0.000751,0.000979,0.000864,0.00016578,,,20110705,CAT EN-RHS RHS300x250x8.8 20110705
RHS400x150x8.8,72.9,0.4,0.15,0.0088,,,0.00929,0.00017961,3.804e-05,0.139,0.064,0.000898,0.000507,0.001143,0.000568,0.00010254,,,20110705,CAT EN-RHS RHS400x150x8.8 20110705
RHS300x200x10,74.5,0.3,0.2,0.01,,,0.00949,0.00011819,6.278e-05,0.112,0.0813,0.000788,0.000628,0.000956,0.000721,0.00012908,,,20110705,CAT EN-RHS RHS300x200x10 20110705
RHS300x200x10.0,74.5,0.3,0.2,0.01,,,0.00949,0.0001182,6.278e-05,0.112,0.0813,0.000788,0.000628,0.000956,0.000721,0.0001291,,False,20100728,CAT EN-RHS RHS300x200x10.0 20100728
RHS350x150x10,74.5,0.35,0.15,0.01,,,0.00949,0.0001432,3.737e-05,0.123,0.0627,0.000818,0.000498,0.001035,0.000566,9.633e-05,,,20110705,CAT EN-RHS RHS350x150x10 20110705
RHS220x120x16,75.2,0.22,0.12,0.016,,,0.00958,5.413e-05,1.988e-05,0.0752,0.0455,0.000492,0.000331,0.000643,0.00041,4.873e-05,,,20110705,CAT EN-RHS RHS220x120x16 20110705
RHS200x150x16,77.7,0.2,0.15,0.016,,,0.0099,5.036e-05,3.152e-05,0.0713,0.0564,0.000504,0.00042,0.000638,0.000518,6.37e-05,,,20110705,CAT EN-RHS RHS200x150x16 20110705
RHS250x100x16,77.7,0.25,0.1,0.016,,,0.0099,6.686e-05,1.433e-05,0.0822,0.038,0.000535,0.000287,0.000719,0.000358,4.05e-05,,,20110705,CAT EN-RHS RHS250x100x16 20110705
RHS400x120x10,77.7,0.4,0.12,0.01,,,0.00989,0.00017829,2.551e-05,0.134,0.0508,0.000891,0.000425,0.001168,0.000483,7.509e-05,,,20110705,CAT EN-RHS RHS400x120x10 20110705
RHS350x250x8.8,79.8,0.35,0.25,0.0088,,,0.0102,0.00017932,0.00010668,0.133,0.102,0.001025,0.000853,0.001222,0.00097,0.00020778,,,20110705,CAT EN-RHS RHS350x250x8.8 20110705
RHS400x200x8.8,79.8,0.4,0.2,0.0088,,,0.0102,0.00021328,7.241e-05,0.145,0.0844,0.001066,0.000724,0.001315,0.000811,0.00017164,,,20110705,CAT EN-RHS RHS400x200x8.8 20110705
RHS260x180x12.5,80.1,0.26,0.18,0.0125,,,0.0102,9.299e-05,5.196e-05,0.0954,0.0713,0.000715,0.000577,0.000879,0.000679,0.0001064,,False,20100728,CAT EN-RHS RHS260x180x12.5 20100728
RHS250x150x14.2,81.1,0.25,0.15,0.0142,,,0.0103,8.141e-05,3.576e-05,0.0887,0.0588,0.000651,0.000477,0.000823,0.00057,8.102e-05,,False,20100728,CAT EN-RHS RHS250x150x14.2 20100728
RHS260x140x14.2,81.1,0.26,0.14,0.0142,,,0.0103,8.56e-05,3.144e-05,0.091,0.0552,0.000658,0.000449,0.00084,0.000537,7.555e-05,,,20110705,CAT EN-RHS RHS260x140x14.2 20110705
RHS300x100x14.2,81.1,0.3,0.1,0.0142,,,0.0103,0.00010028,1.607e-05,0.0985,0.0394,0.000669,0.000321,0.000896,0.00039,4.755e-05,,,20110705,CAT EN-RHS RHS300x100x14.2 20110705
